MutantSet
Field,Value
GlobalPath,None
NumberOfMutants,94

Mutants
"Mutant ID","Mutant Type","Mutant Path","CompilationUnit Path","Line Number","isSubsuming","Number of Failed Tests","Subsumes","SubsumedBy","MutuallySubsuming"
24,RelationalOperatorReplacement,java\com\grahamedgecombe\jterminal\vt100\Vt100TerminalModel.java\31.java,java\com\grahamedgecombe\jterminal\vt100\Vt100TerminalModel.java,155,False,0,,,
25,RelationalOperatorReplacement,java\com\grahamedgecombe\jterminal\vt100\Vt100TerminalModel.java\32.java,java\com\grahamedgecombe\jterminal\vt100\Vt100TerminalModel.java,154,False,0,,,
26,RelationalOperatorReplacement,java\com\grahamedgecombe\jterminal\vt100\Vt100TerminalModel.java\33.java,java\com\grahamedgecombe\jterminal\vt100\Vt100TerminalModel.java,151,False,0,,,
27,RelationalOperatorReplacement,java\com\grahamedgecombe\jterminal\vt100\Vt100TerminalModel.java\34.java,java\com\grahamedgecombe\jterminal\vt100\Vt100TerminalModel.java,150,False,0,,,
28,RelationalOperatorReplacement,java\com\grahamedgecombe\jterminal\vt100\Vt100TerminalModel.java\35.java,java\com\grahamedgecombe\jterminal\vt100\Vt100TerminalModel.java,147,False,0,,,
29,RelationalOperatorReplacement,java\com\grahamedgecombe\jterminal\vt100\Vt100TerminalModel.java\36.java,java\com\grahamedgecombe\jterminal\vt100\Vt100TerminalModel.java,141,False,0,,,
30,RelationalOperatorReplacement,java\com\grahamedgecombe\jterminal\vt100\Vt100TerminalModel.java\37.java,java\com\grahamedgecombe\jterminal\vt100\Vt100TerminalModel.java,134,False,0,,,
31,RelationalOperatorReplacement,java\com\grahamedgecombe\jterminal\vt100\Vt100TerminalModel.java\38.java,java\com\grahamedgecombe\jterminal\vt100\Vt100TerminalModel.java,133,False,0,,,
32,RelationalOperatorReplacement,java\com\grahamedgecombe\jterminal\vt100\Vt100TerminalModel.java\39.java,java\com\grahamedgecombe\jterminal\vt100\Vt100TerminalModel.java,130,False,0,,,
33,RelationalOperatorReplacement,java\com\grahamedgecombe\jterminal\vt100\Vt100TerminalModel.java\4.java,java\com\grahamedgecombe\jterminal\vt100\Vt100TerminalModel.java,437,True,1,1;88;7;51;8;11;22;44;55;66;13;77;6;9,22;44;55,22;44;55
34,RelationalOperatorReplacement,java\com\grahamedgecombe\jterminal\vt100\Vt100TerminalModel.java\40.java,java\com\grahamedgecombe\jterminal\vt100\Vt100TerminalModel.java,123,False,0,,,
35,RelationalOperatorReplacement,java\com\grahamedgecombe\jterminal\vt100\Vt100TerminalModel.java\41.java,java\com\grahamedgecombe\jterminal\vt100\Vt100TerminalModel.java,122,False,0,,,
36,RelationalOperatorReplacement,java\com\grahamedgecombe\jterminal\vt100\Vt100TerminalModel.java\42.java,java\com\grahamedgecombe\jterminal\vt100\Vt100TerminalModel.java,119,False,0,,,
37,RelationalOperatorReplacement,java\com\grahamedgecombe\jterminal\vt100\Vt100TerminalModel.java\43.java,java\com\grahamedgecombe\jterminal\vt100\Vt100TerminalModel.java,116,False,0,,,
38,RelationalOperatorReplacement,java\com\grahamedgecombe\jterminal\vt100\Vt100TerminalModel.java\44.java,java\com\grahamedgecombe\jterminal\vt100\Vt100TerminalModel.java,107,False,0,,,
39,RelationalOperatorReplacement,java\com\grahamedgecombe\jterminal\vt100\Vt100TerminalModel.java\45.java,java\com\grahamedgecombe\jterminal\vt100\Vt100TerminalModel.java,104,False,0,,,
40,RelationalOperatorReplacement,java\com\grahamedgecombe\jterminal\vt100\Vt100TerminalModel.java\46.java,java\com\grahamedgecombe\jterminal\vt100\Vt100TerminalModel.java,101,False,0,,,
41,RelationalOperatorReplacement,java\com\grahamedgecombe\jterminal\vt100\Vt100TerminalModel.java\47.java,java\com\grahamedgecombe\jterminal\vt100\Vt100TerminalModel.java,94,False,0,,,
42,RelationalOperatorReplacement,java\com\grahamedgecombe\jterminal\vt100\Vt100TerminalModel.java\48.java,java\com\grahamedgecombe\jterminal\vt100\Vt100TerminalModel.java,88,False,0,,,
43,RelationalOperatorReplacement,java\com\grahamedgecombe\jterminal\vt100\Vt100TerminalModel.java\49.java,java\com\grahamedgecombe\jterminal\vt100\Vt100TerminalModel.java,86,False,0,,,
44,RelationalOperatorReplacement,java\com\grahamedgecombe\jterminal\vt100\Vt100TerminalModel.java\5.java,java\com\grahamedgecombe\jterminal\vt100\Vt100TerminalModel.java,437,True,1,1;88;7;51;8;11;22;33;55;66;13;77;6;9,22;33;55,22;33;55
45,RelationalOperatorReplacement,java\com\grahamedgecombe\jterminal\vt100\Vt100TerminalModel.java\50.java,java\com\grahamedgecombe\jterminal\vt100\Vt100TerminalModel.java,83,False,0,,,
46,RelationalOperatorReplacement,java\com\grahamedgecombe\jterminal\vt100\Vt100TerminalModel.java\51.java,java\com\grahamedgecombe\jterminal\vt100\Vt100TerminalModel.java,76,False,0,,,
47,RelationalOperatorReplacement,java\com\grahamedgecombe\jterminal\vt100\Vt100TerminalModel.java\52.java,java\com\grahamedgecombe\jterminal\vt100\Vt100TerminalModel.java,74,False,0,,,
48,RelationalOperatorReplacement,java\com\grahamedgecombe\jterminal\vt100\Vt100TerminalModel.java\53.java,java\com\grahamedgecombe\jterminal\vt100\Vt100TerminalModel.java,72,False,0,,,
49,RelationalOperatorReplacement,java\com\grahamedgecombe\jterminal\vt100\Vt100TerminalModel.java\54.java,java\com\grahamedgecombe\jterminal\vt100\Vt100TerminalModel.java,70,False,0,,,
50,RelationalOperatorReplacement,java\com\grahamedgecombe\jterminal\vt100\Vt100TerminalModel.java\55.java,java\com\grahamedgecombe\jterminal\vt100\Vt100TerminalModel.java,67,False,0,,,
51,ArithmeticOperatorReplacementShortcut,java\com\grahamedgecombe\jterminal\vt100\Vt100TerminalModel.java\56.java,java\com\grahamedgecombe\jterminal\vt100\Vt100TerminalModel.java,246,False,5,7;8;11;13;6;9,52;53;22;33;44;54;55;86;56;87;0,
52,ArithmeticOperatorReplacementShortcut,java\com\grahamedgecombe\jterminal\vt100\Vt100TerminalModel.java\57.java,java\com\grahamedgecombe\jterminal\vt100\Vt100TerminalModel.java,241,True,1,59;1;88;7;51;8;53;11;54;86;87;66;13;77;14;6;9,54;87;86;53,54;87;86;53
53,ArithmeticOperatorReplacementShortcut,java\com\grahamedgecombe\jterminal\vt100\Vt100TerminalModel.java\58.java,java\com\grahamedgecombe\jterminal\vt100\Vt100TerminalModel.java,238,True,1,59;1;88;7;51;8;52;11;54;86;87;66;13;77;14;6;9,54;52;87;86,54;52;87;86
54,ArithmeticOperatorReplacementShortcut,java\com\grahamedgecombe\jterminal\vt100\Vt100TerminalModel.java\59.java,java\com\grahamedgecombe\jterminal\vt100\Vt100TerminalModel.java,235,True,1,59;1;88;7;51;8;52;53;11;86;87;66;13;77;14;6;9,86;52;87;53,86;52;87;53
55,RelationalOperatorReplacement,java\com\grahamedgecombe\jterminal\vt100\Vt100TerminalModel.java\6.java,java\com\grahamedgecombe\jterminal\vt100\Vt100TerminalModel.java,437,True,1,1;88;7;51;8;11;22;33;44;66;13;77;6;9,22;33;44,22;33;44
56,ArithmeticOperatorReplacementShortcut,java\com\grahamedgecombe\jterminal\vt100\Vt100TerminalModel.java\60.java,java\com\grahamedgecombe\jterminal\vt100\Vt100TerminalModel.java,231,True,1,1;88;7;51;8;11;66;13;77;6;9,,
57,ArithmeticOperatorReplacementShortcut,java\com\grahamedgecombe\jterminal\vt100\Vt100TerminalModel.java\61.java,java\com\grahamedgecombe\jterminal\vt100\Vt100TerminalModel.java,221,False,0,,,
58,ArithmeticOperatorReplacementShortcut,java\com\grahamedgecombe\jterminal\vt100\Vt100TerminalModel.java\62.java,java\com\grahamedgecombe\jterminal\vt100\Vt100TerminalModel.java,217,True,1,59;1;88;16;7;8;11;66;13;77;14;89;6;9,89;16,89;16
59,ArithmeticOperatorReplacementShortcut,java\com\grahamedgecombe\jterminal\vt100\Vt100TerminalModel.java\63.java,java\com\grahamedgecombe\jterminal\vt100\Vt100TerminalModel.java,214,False,2,1;88;7;8;11;66;13;77;14;6;9,52;53;54;86;87;89;58;16,
60,ArithmeticOperatorReplacementShortcut,java\com\grahamedgecombe\jterminal\vt100\Vt100TerminalModel.java\64.java,java\com\grahamedgecombe\jterminal\vt100\Vt100TerminalModel.java,159,False,0,,,
61,ArithmeticOperatorReplacementShortcut,java\com\grahamedgecombe\jterminal\vt100\Vt100TerminalModel.java\65.java,java\com\grahamedgecombe\jterminal\vt100\Vt100TerminalModel.java,155,False,0,,,
62,ArithmeticOperatorReplacementShortcut,java\com\grahamedgecombe\jterminal\vt100\Vt100TerminalModel.java\66.java,java\com\grahamedgecombe\jterminal\vt100\Vt100TerminalModel.java,151,False,0,,,
63,ArithmeticOperatorReplacementShortcut,java\com\grahamedgecombe\jterminal\vt100\Vt100TerminalModel.java\67.java,java\com\grahamedgecombe\jterminal\vt100\Vt100TerminalModel.java,139,False,0,,,
64,ArithmeticOperatorReplacementShortcut,java\com\grahamedgecombe\jterminal\vt100\Vt100TerminalModel.java\68.java,java\com\grahamedgecombe\jterminal\vt100\Vt100TerminalModel.java,136,False,0,,,
65,ArithmeticOperatorReplacementShortcut,java\com\grahamedgecombe\jterminal\vt100\Vt100TerminalModel.java\69.java,java\com\grahamedgecombe\jterminal\vt100\Vt100TerminalModel.java,128,False,0,,,
66,RelationalOperatorReplacement,java\com\grahamedgecombe\jterminal\vt100\Vt100TerminalModel.java\7.java,java\com\grahamedgecombe\jterminal\vt100\Vt100TerminalModel.java,429,False,6,1;88;7;8;11;13;77;6;9,59;1;88;52;53;22;33;44;54;55;77;56;86;14;87;89;58;16,1;77;88
67,ArithmeticOperatorReplacementShortcut,java\com\grahamedgecombe\jterminal\vt100\Vt100TerminalModel.java\70.java,java\com\grahamedgecombe\jterminal\vt100\Vt100TerminalModel.java,125,False,0,,,
68,ConditionalOperatorReplacement,java\com\grahamedgecombe\jterminal\vt100\Vt100TerminalModel.java\71.java,java\com\grahamedgecombe\jterminal\vt100\Vt100TerminalModel.java,437,False,0,,,
69,ConditionalOperatorReplacement,java\com\grahamedgecombe\jterminal\vt100\Vt100TerminalModel.java\72.java,java\com\grahamedgecombe\jterminal\vt100\Vt100TerminalModel.java,437,False,0,,,
70,ConditionalOperatorReplacement,java\com\grahamedgecombe\jterminal\vt100\Vt100TerminalModel.java\73.java,java\com\grahamedgecombe\jterminal\vt100\Vt100TerminalModel.java,437,False,0,,,
